Description,,Summary Amt.
Beginning balance as of 01/01/2026,,"8,751.14"
Total credits,,"26,848.22"
Total debits,,"-25,472.34"
Ending balance as of 05/31/2026,,"10,127.02"

Date,Description,Amount,Running Bal.
03/04/2026,"WIRE TYPE:WIRE IN DATE: 260304 TIME:0538 ET TRN:2026030400240584 SEQ:3096426063ES/002846 ORIG:CARDWORKS SUBMISSION COMP ID:2908091555 SND BK:JPMORGAN CHASE BANK, NA ID:021000021 PMT DET:BPL OF 26/03/04 WEBSITE DESIGNER /CATPURP/","6,000.00","18,769.82"
03/04/2026,"Wire Transfer Fee","-15.00","18,754.82"
03/05/2026,"PAYPAL DES:INST XFER ID:RONGHANGLIN888 INDN:TIN NGUYEN CO ID:PAYPALSI77 WEB","-3,700.00","15,054.82"
03/05/2026,"PAYPAL DES:INST XFER ID:GUSTAVOXX3 INDN:TIN NGUYEN CO ID:PAYPALSI77 WEB","-1,152.00","13,902.82"
03/11/2026,"APPLECARD GSBANK DES:PAYMENT ID:2070517 INDN:Tin Nguyen CO ID:9999999999 WEB","-445.31","13,457.51"
03/13/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","14,057.51"
03/30/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","14,657.51"
04/01/2026,"CHUZE FIT DES:CLUB FEES ID:2609000528432 INDN:Tin Nguyen CO ID:1710602737 PPD PMT INFO:657-549-8988","-19.99","14,637.52"
04/03/2026,"Zelle payment from PAWARISORN BOONYUBOL Conf# 022SCODUK","1,000.00","15,637.52"
04/13/2026,"Mobile Banking payment to CRD 8030 Confirmation# sb3cf7hh8","-706.74","14,930.78"
04/13/2026,"APPLECARD GSBANK DES:PAYMENT ID:2070517 INDN:Tin Nguyen CO ID:9999999999 WEB","-432.58","14,498.20"
04/15/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","15,098.20"
04/21/2026,"VENMO DES:PAYMENT ID:1049743060463 INDN:TIN NGUYEN CO ID:3264681992 WEB","-1,850.00","13,248.20"
04/24/2026,"IRS TREAS 310 DES: TAX REF ID:678456628200989 INDN:NGUYEN, TIN CO ID:9111736043 PPD PMT INFO:REF*NGUY*FRESNO*12/2025*TAX REFUND*30\","407.00","13,655.20"
04/27/2026,"FRANCHISE TAX BD DES:CASTTAXRFD ID:678456628 INDN:NGUYEN, TIN CO ID:9282532045 PPD","301.00","13,956.20"
04/27/2026,"VENMO DES:PAYMENT ID:1049853176293 INDN:TIN NGUYEN CO ID:3264681992 WEB","-1,425.00","12,531.20"
04/27/2026,"APPLECARD GSBANK DES:PAYMENT ID:2070517 INDN:Tin Nguyen CO ID:9999999999 WEB","-486.48","12,044.72"
04/30/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","12,644.72"
05/01/2026,"CHUZE FIT DES:CLUB FEES ID:2612000530215 INDN:Tin Nguyen CO ID:1710602737 PPD PMT INFO:657-549-8988","-19.99","12,624.73"
05/11/2026,"APPLECARD GSBANK DES:PAYMENT ID:2070517 INDN:Tin Nguyen CO ID:9999999999 WEB","-678.91","11,945.82"
05/11/2026,"PAYPAL DES:INST XFER ID:ORCA.JONATHAN INDN:TIN NGUYEN CO ID:PAYPALSI77 WEB","-366.42","11,579.40"
05/15/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","12,179.40"
05/18/2026,"BKOFAMERICA MOBILE 05/19 3637712925 DEPOSIT *MOBILE CA","6,455.00","18,634.40"
05/18/2026,"Mobile Banking payment to CRD 8030 Confirmation# 5637227eh","-807.58","17,826.82"
05/20/2026,"APPLECARD GSBANK DES:PAYMENT ID:2070517 INDN:Tin Nguyen CO ID:9999999999 WEB","-1,299.80","16,527.02"
05/21/2026,"Zelle payment to Chris wong Conf# ota33xryn","-2,000.00","14,527.02"
05/22/2026,"Zelle payment to REYNIR BRYNJOLFSSON Conf# nfny3h81u","-1,200.00","13,327.02"
05/26/2026,"Zelle payment to Chris wong Conf# p98x3ejff","-2,000.00","11,327.02"
05/26/2026,"Zelle payment to LOS LECTOR COLLECTIBLES LLC Conf# l2l740wvw","-1,800.00","9,527.02"
05/29/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","10,127.02"
