Account Number,Transaction Description,Transaction Date,Transaction Type,Transaction Amount,Balance
0628,Deposit from FPT USA CORP PAYROLL,02/26/26,Credit,500,21796.16
0628,Withdrawal from CAPITAL ONE MOBILE PMT,02/26/26,Debit,560.13,21296.16
0628,Withdrawal from PAYPAL to TIN NGUYEN INST XFER,02/26/26,Debit,50,21856.29
0628,Zelle money received from PHONG NGUYEN,02/25/26,Credit,470,21906.29
0628,Zelle money sent to KEVIN OLMOS,02/24/26,Debit,600,21436.29
0628,Withdrawal from PAYPAL to TIN NGUYEN INST XFER,02/23/26,Debit,1850,22036.29
0628,Zelle money sent to KIET LE,02/22/26,Debit,75,23886.29
0628,Zelle money received from ANUSARN SANGNIMNUAN,02/20/26,Credit,250,23961.29
0628,Deposit from QUICK CONS 7656 CONS PAY,02/19/26,Credit,2504.62,23711.29
0628,Zelle money received from PHONG NGUYEN,02/18/26,Credit,2500,21206.67
0628,Withdrawal from CAPITAL ONE MOBILE PMT,02/17/26,Debit,1865.23,18706.67
0628,Withdrawal from CAPITAL ONE MOBILE PMT,02/17/26,Debit,95,20571.9
0628,Zelle money received from MINH A NGUYEN,02/14/26,Credit,100,20666.9
0628,Zelle money received from KIET TUAN LE,02/13/26,Credit,3.5,20566.9
0628,Withdrawal from CAPITAL ONE MOBILE PMT,02/12/26,Debit,3827.57,20563.4
0628,Deposit from FPT USA CORP PAYROLL,02/12/26,Credit,500,24390.97
0628,Zelle money received from MINH A NGUYEN,02/11/26,Credit,850,23890.97
0628,Zelle money sent to KIET LE,02/09/26,Debit,7,23040.97
0628,Zelle money received from HUYNH NGUYEN,02/09/26,Credit,3000,23047.97
0628,Withdrawal from CAPITAL ONE MOBILE PMT,02/09/26,Debit,4000,20047.97
0628,Zelle money sent to KIET LE,02/07/26,Debit,68,24047.97
0628,Zelle money received from NAM HAU,02/06/26,Credit,1000,24115.97
0628,Zelle money sent to JESSE LAZCANO,02/06/26,Debit,1000,23115.97
0628,Zelle money sent to JESSE LAZCANO,02/06/26,Debit,700,24115.97
0628,Withdrawal from WISE US INC WISE,02/05/26,Debit,300.51,24815.97
0628,Withdrawal from CAPITAL ONE MOBILE PMT,02/04/26,Debit,3500,25116.48
0628,Zelle money received from DAN DAILY LLC,02/04/26,Credit,5000,28616.48
0628,Zelle money received from KIET TUAN LE,02/03/26,Credit,3.5,23616.48
0628,Zelle money sent to PHUONG NGUYEN,02/03/26,Debit,3000,23612.98
0628,Zelle money received from DAN DAILY LLC,02/03/26,Credit,5000,26612.98
0628,Zelle money received from DAN DAILY LLC,02/02/26,Credit,5000,21612.98
0628,Deposit from FPT USA CORP PAYROLL,02/02/26,Credit,500,16612.98
0628,Monthly Interest Paid,01/31/26,Credit,1.68,16112.98
0628,Zelle money received from KIET TUAN LE,01/29/26,Credit,3.35,16111.3
0628,Zelle money received from HUYNH NGUYEN,01/29/26,Credit,2000,16107.95
0628,Deposit from FPT USA CORP PAYROLL,01/29/26,Credit,500,14107.95
0628,Zelle money sent to MICHAEL REYES,01/27/26,Debit,1000,13607.95
0628,Zelle money returned from 13236956677,01/27/26,Credit,2000,14607.95
0628,Zelle money sent to MICHAEL REYES,01/27/26,Debit,2000,12607.95
0628,Zelle money sent to MICHAEL REYES,01/27/26,Debit,400,14607.95
0628,Withdrawal from CAPITAL ONE MOBILE PMT,01/27/26,Debit,3045.52,15007.95
0628,Zelle money sent to CHRISTOPHER SANDOVAL,01/25/26,Debit,1000,18053.47
0628,Zelle money sent to CHRISTOPHER SANDOVAL,01/25/26,Debit,950,19053.47
0628,Zelle money sent to HIEU LE,01/24/26,Debit,6,20003.47
0628,Zelle money sent to KIET LE,01/24/26,Debit,28.25,20009.47
0628,Withdrawal from CAPITAL ONE MOBILE PMT,01/23/26,Debit,2597.6,20037.72
0628,Withdrawal from CAPITAL ONE MOBILE PMT,01/22/26,Debit,2805.3,22635.32
0628,Zelle money received from Quang Tran,01/22/26,Credit,3000,25440.62
0628,Zelle money sent to OSCAR ORGANES,01/21/26,Debit,350,22440.62
0628,Zelle money sent to ANTHONY VALENZUELA,01/19/26,Debit,20,22790.62
0628,Zelle money sent to KIET LE,01/19/26,Debit,22,22810.62
0628,Zelle money received from Thi Nguyen,01/19/26,Credit,135,22832.62
0628,Zelle money received from VAN TRUNG LLC,01/18/26,Credit,3865,22697.62
0628,Zelle money received from DH COPPER LLC,01/16/26,Credit,1000,18832.62
0628,Zelle money sent to BRANDON VONG,01/15/26,Debit,100,17832.62
0628,Zelle money received from ANUSARN SANGNIMNUAN,01/14/26,Credit,50,17932.62
0628,Deposit from FPT USA CORP PAYROLL,01/14/26,Credit,500,17882.62
0628,Zelle money sent to FRANCISCO MANZO,01/13/26,Debit,800,17382.62
0628,Zelle money sent to CHRISTOPHER SINH,01/12/26,Debit,730,18182.62
0628,Zelle money received from KENT ERNEST CUELLAR,01/11/26,Credit,700,18912.62
0628,Zelle money sent to VINSON TAN,01/10/26,Debit,1000,18212.62
0628,Zelle money sent to VINSON TAN,01/10/26,Debit,300,19212.62
0628,Zelle money sent to RUBEN ALCIVAR,01/08/26,Debit,550,19512.62
0628,Withdrawal from CAPITAL ONE MOBILE PMT,01/06/26,Debit,4640.82,20062.62
0628,Zelle money sent to CHARLY SANDOVAL MONTES,01/03/26,Debit,60,24703.44
0628,Deposit from QUICK CONS 7656 CONS PAY,01/02/26,Credit,929.18,24763.44
